Site,OS_BNG_X,OS_BNG_Y
AB,188273.8392,234578.8663
LV,332875.4441,220688.2877
BR,330641.4792,158757.1809
KY,367770.7648,168349.3224
BF,389435.6101,162841.7344
ST,359366.2742,198210.7622
SH,383863.7099,224796.1005
CF,383863.0736,229466.4813
BG,386335.701,234866.889
AC,394001.2521,234867.0684
CR,399939.2905,243763.8308
GH,404215.089,245425.04
PX,420366.436,237277.0263
WF,421558.4823,235582.4429
