Analysis,Geology,Province,Region,Site,SubSite,Formation,Band,Nodule,Li7,Be9,B11,Mg24,Al27,Si28,P31,S33,K39,Ca42,Sc45,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn68,Ga69,Ge72,As75,Rb85,Sr88,Y89,Zr90,Nb93,Mo95,Cd111,In115,Sn118,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
10_FH1_1_1,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_1,15.63,0.12,48.36,154.63,943.71,464944.18,50.28,538.57,455.94,712.39,0.42,15.58,0.27,3.3,0.69,8.46,0.05,0.8,1.62,10.82,0.25,1.22,0.16,0.43,12.94,0.88,1.51,0.09,0.05,0.02,0,0.05,0.01,6.54,0.84,0.95,0.23,0.87,0.16,0.04,0.16,0.02,0.11,0.03,0.06,0.01,0.02,0,0.04,0.01,0.24,0.07,0.05
11_FH1_1_1,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_1,11.5,0.09,44.77,262.87,1077.11,465010.94,70.91,438.2,387.82,515.24,0.44,18.47,0.29,3.45,1.01,11.59,0.11,0.36,0.53,8.93,0.34,0.85,<0.10,0.45,13.22,0.95,1.74,0.07,<0.01,<0.02,<0.00,0.04,0.02,8.04,0.92,1.01,0.23,0.98,0.18,0.04,0.18,0.02,0.13,0.03,0.06,0.01,0.04,0.01,0.05,0,0.07,0.08,0.04
12_FH1_1_1,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_1,20.05,0.06,44.88,42.7,620.21,465295.41,104.47,372.66,363.71,957.89,0.76,19.89,0.55,3.25,1.21,87.99,0.21,1.68,1.53,11.98,0.25,1.71,0.13,0.43,8.52,0.87,0.93,0.1,0.02,<0.02,<0.00,0.05,0.01,3.13,0.9,1.08,0.26,0.84,0.15,0.04,0.19,0.02,0.14,0.02,0.07,0.01,0.06,0,0.02,0.01,0.46,0.05,0.05
13_FH1_1_2,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_2,11.16,<0.73,47.06,162.42,1143.19,402596.61,56367.93,1075.89,547.55,2174.3,<0.43,42.3,0.67,152.42,4.84,145.34,0.3,2.45,5.02,17.15,0.35,2.13,<0.84,0.76,13.16,0.97,2,0.1,0.29,<0.18,<0.01,0.78,0.04,8.74,0.93,0.95,0.21,0.75,0.13,0.04,0.25,0.02,0.09,0.03,0.05,0,0.03,<0.00,0.08,<0.00,0.64,0.05,0.03
14_FH1_1_2,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_2,17.71,0.32,48.26,33.52,547.22,465027.11,44.44,464.78,278.25,1551.63,0.71,11.18,0.27,2.56,1.73,25.38,0.05,0.8,0.55,9.8,0.41,1.41,<0.12,0.28,9.9,0.9,0.9,0.08,0.04,0.1,0,0.09,0.01,2.74,0.97,1.09,0.27,1,0.17,0.04,0.19,0.02,0.15,0.03,0.05,0.01,0.05,0.01,0.02,0.01,0.59,0.06,0.09
15_FH1_1_2,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_2,17.27,<0.06,47.89,112.27,925.56,465048.1,59.39,496.86,346.89,763.47,0.55,14.75,0.31,3.2,0.86,30.5,0.06,1.04,0.53,9.56,0.23,1.27,<0.11,0.42,11.17,0.91,1.68,0.08,0.02,<0.03,0,0.04,0.01,7.4,0.84,0.92,0.24,0.89,0.19,0.04,0.17,0.02,0.11,0.02,0.06,0.01,0.05,0,0.04,0.01,0.11,0.09,0.04
16_FH1_1_3,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_3,14.32,0.16,41.79,194.11,1168.05,462663.07,2038.08,458.82,400.01,765.59,0.43,28.88,0.57,8.81,0.81,21.87,0.12,0.47,0.68,10.55,0.44,0.7,<0.13,0.53,14.46,1.17,2.09,0.15,0.03,<0.03,<0.00,0.09,0.02,8.03,1.12,1.2,0.31,1.16,0.22,0.05,0.23,0.03,0.17,0.03,0.08,0.01,0.04,0.01,0.05,0.01,0.19,0.11,0.03
17_FH1_1_3,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_3,16.02,<0.03,48.06,61.27,785.43,465237.69,43.21,549.56,308.25,678.31,0.57,36.46,0.21,3.62,0.6,17.41,0.04,0.55,0.63,10.72,0.29,1.52,<0.12,0.35,9.93,0.81,1.85,0.15,0.02,<0.03,0,0.07,0.01,5.57,0.76,0.85,0.19,0.76,0.16,0.03,0.12,0.02,0.12,0.02,0.06,0.01,0.04,0.01,0.04,0.01,0.18,0.06,0.07
18_FH1_1_3,Bedrock,Northern,NA,FH,FH1,Burnham,FH1,FH1_1_3,19.56,0.15,42.81,87.03,1141.48,464689.32,268.44,437.2,506.68,671.49,0.54,15.23,0.31,2.76,0.84,38.21,0.09,1.37,1.33,12.81,0.28,0.8,<0.11,0.63,13.48,0.83,2.07,0.07,0.04,<0.05,0.01,0.05,0.01,7.7,0.82,0.96,0.23,0.84,0.15,0.03,0.19,0.02,0.12,0.02,0.05,0.01,0.03,0,0.04,0,0.31,0.07,0.03
23_FH2_1_1,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_1,24.65,0.15,47.34,109.06,708.96,464743.88,98.18,494.03,315.04,1469.53,0.69,21.73,0.5,3.72,1.69,33.57,0.06,0.96,1.02,10.99,0.38,1.83,0.13,0.42,11.89,0.77,2.18,0.12,0.03,0.11,0.01,0.07,0.02,4.65,0.73,0.9,0.2,0.71,0.1,0.04,0.17,0.02,0.09,0.02,0.06,0.01,0.03,0.01,0.05,0.01,0.21,0.09,0.11
24_FH2_1_1,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_1,30.95,<0.04,38.45,158.81,928.46,457195.06,2343.1,503.37,350.77,8561.56,0.48,18.29,0.56,8.3,9.35,417.46,0.26,2.14,2.11,16.08,0.33,0.51,0.94,0.48,26.21,1.02,1.18,0.1,0.03,0.07,<0.00,0.09,0.02,7.09,0.96,1.03,0.22,0.84,0.16,0.04,0.18,0.02,0.12,0.03,0.06,0.01,0.04,0.01,0.04,0.01,2,0.1,0.1
25_FH2_1_1,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_1,15.66,0.08,37.06,178.17,1064.28,464236.64,198.11,455.59,361.26,1522.16,0.51,21.99,0.73,3.87,1.49,99.32,0.11,1.33,0.54,10.26,0.42,1.44,<0.11,0.7,13.62,0.77,1.47,0.12,0.02,<0.02,<0.00,0.02,0.02,9.32,0.68,0.78,0.15,0.66,0.14,0.03,0.13,0.02,0.09,0.02,0.05,0.01,0.02,0,0.04,0.01,0.36,0.07,0.07
26_FH2_1_2,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_2,20.26,0.25,37.71,244.88,1092.73,464786.07,204.33,458.74,406.43,490.67,0.43,34.16,0.69,5.5,0.4,94.6,0.09,1.17,1.14,10.14,0.38,0.9,0.2,0.49,13.73,0.68,1.52,0.18,0.25,0.13,0,0.05,0.01,8.42,0.71,0.91,0.18,0.71,0.11,0.03,0.12,0.02,0.08,0.02,0.04,0.01,0.04,0,0.07,0.01,0.44,0.09,0.05
27_FH2_1_2,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_2,19.41,0.19,37.2,213.96,1204.71,464802.66,137.8,504.23,384.38,392.64,0.43,22.06,0.81,4.4,0.23,118.21,0.12,1.16,1.28,10.96,0.36,0.77,0.23,0.56,13.32,0.76,1.88,0.14,<0.01,0.02,0,0.04,0.02,9.8,0.66,0.74,0.17,0.6,0.11,0.03,0.13,0.02,0.09,0.02,0.04,0,0.03,0,0.06,0.01,0.44,0.09,0.05
28_FH2_1_2,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_2,17.69,<0.10,32.95,227.43,1289.7,461668.94,2861.74,530.38,399.66,626.35,0.34,21.56,0.61,10.23,0.46,28.99,<0.03,0.26,0.36,9.17,0.48,0.53,<0.15,0.52,14.04,0.68,1.79,0.12,0.01,<0.03,<0.00,0.04,0.01,8.85,0.56,0.68,0.15,0.58,0.14,0.03,0.11,0.02,0.09,0.02,0.04,0.01,0.02,0,0.06,0.01,0.26,0.09,0.04
29_FH2_1_3,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_3,18.8,0.17,37.66,211.05,1155.94,464752.18,103.77,500.77,392.9,528.95,0.42,30.29,0.97,3.93,0.49,176.1,0.14,0.8,1.79,11.89,0.4,0.99,0.49,0.64,13.48,0.82,1.67,0.13,0.02,0.04,0,0.04,0.02,9.52,0.73,0.88,0.2,0.72,0.15,0.04,0.13,0.02,0.09,0.02,0.05,0.01,0.03,0.01,0.05,0.01,0.53,0.11,0.05
30_FH2_1_3,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_3,18.93,<0.09,40.88,226.36,1180.31,464786.53,31.3,566.17,430.52,486.39,0.41,30.84,0.72,3.95,0.41,74.08,<0.03,0.36,0.8,9.89,0.9,0.98,0.19,0.51,12.79,0.59,1.84,0.18,0.02,<0.02,<0.00,0.05,0.02,8.45,0.56,0.68,0.14,0.5,0.09,0.02,0.1,0.01,0.08,0.02,0.04,0,0.02,0.01,0.06,0.01,0.42,0.11,0.06
31_FH2_1_3,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_1,FH2_1_3,16.39,0.11,36.69,228.72,1241.99,462918.8,1616.08,509.92,530.81,686.88,0.38,25.15,0.82,7.58,0.73,72.72,0.03,0.68,0.85,10.54,0.37,0.82,0.23,0.64,15,0.88,2.62,0.13,0.09,<0.02,<0.00,0.03,0.01,9.2,0.79,0.95,0.21,0.75,0.14,0.03,0.15,0.02,0.11,0.02,0.07,0.01,0.05,0.01,0.09,0.01,0.83,0.12,0.05
32_FH2_2_4,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_4,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL
33_FH2_2_4,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_4,15.25,0.05,39.39,193.93,1276.69,464460.23,195.17,518.09,428.6,760.61,0.36,38.97,0.74,4.17,0.83,18.58,<0.02,0.19,0.33,9.11,0.39,0.84,0.14,0.66,15.04,0.86,1.95,0.15,<0.01,<0.02,0,0.05,0.02,9.26,0.85,0.95,0.22,0.81,0.18,0.03,0.15,0.02,0.14,0.02,0.05,0,0.04,0.01,0.06,0.01,0.09,0.09,0.04
34_FH2_2_4,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_4,15.27,0.09,33.28,222.2,1135.08,464178.91,248.35,510.96,360.87,1360.76,0.38,28.4,0.54,4.72,1.84,14.25,0.06,0.24,0.27,9.52,0.25,0.36,<0.11,0.51,15.08,0.95,1.88,0.24,0.03,0.05,<0.00,0.06,0.02,9.43,1.1,1.29,0.29,1.13,0.18,0.07,0.23,0.03,0.15,0.03,0.07,0.01,0.04,0,0.05,0.02,0.12,0.12,0.04
35_FH2_2_5,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_5,31.54,<0.08,29.02,112.81,1041.74,464496.08,60.82,542.99,357.95,1334.5,0.43,23.39,0.5,4.22,1.67,59.98,0.09,1.19,0.64,10.3,0.36,0.38,0.14,0.47,13.32,0.79,1.9,0.14,0.02,0.05,0,0.07,0.01,8.17,0.91,1.12,0.25,0.93,0.16,0.04,0.16,0.02,0.12,0.02,0.06,0,0.02,0.01,0.04,0.01,0.46,0.13,0.03
36_FH2_2_5,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_5,20.98,<0.15,33.9,166.16,1089.01,464091.94,255.15,472.8,349.03,1567.8,0.62,26.67,0.57,4.22,1.41,134.34,0.14,1.81,0.55,10.18,0.38,0.53,0.22,0.46,15.51,1.08,2.01,0.13,<0.01,<0.05,0.01,0.04,0.01,9.69,1.07,1.3,0.32,1.11,0.14,0.06,0.23,0.03,0.13,0.02,0.06,0.01,0.03,0.01,0.04,0.01,0.82,0.16,0.05
37_FH2_2_5,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_5,15.16,0.26,38.35,172.26,1042.67,459819.12,4542.02,512.51,429.96,1074.17,0.36,23.09,0.39,12.55,1.33,45.66,0.11,1.16,0.7,10.46,0.33,1.47,<0.16,0.53,13.88,0.75,1.54,0.1,0.05,0.1,<0.00,0.05,0.01,9.09,0.94,1.21,0.26,0.98,0.15,0.04,0.2,0.02,0.09,0.02,0.05,0.01,0.03,0,0.04,0,0.15,0.13,0.04
38_FH2_2_6,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_6,15.61,0.08,39.12,171.54,1078.76,463939.92,435.4,420.06,364.63,1600.89,0.5,40.75,0.69,4.02,2.13,103.26,0.14,1.55,1.16,10.43,0.33,1.53,0.3,0.56,14.88,0.96,1.55,0.17,0.02,0.03,0.01,0.05,0.02,9.28,0.99,1.18,0.28,1.08,0.2,0.04,0.19,0.03,0.13,0.03,0.06,0.01,0.03,0,0.05,0.04,0.39,0.13,0.06
43_FH2_2_6,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_6,23.02,0.44,21.71,578.51,2437.05,387696.58,1098.8,335.58,626.13,109009.2,0.46,44.87,5.37,11.13,139.73,5717.18,12.52,60.33,26.56,56.92,0.94,0.58,11.02,1.79,313.93,2.66,4.19,0.23,0.2,0.46,0.02,0.11,0.11,17.89,2.85,2.62,0.57,2.11,0.46,0.11,0.42,0.06,0.34,0.08,0.18,0.04,0.14,0.02,0.12,0.02,4.54,0.19,0.12
44_FH2_2_6,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_2,FH2_2_6,16.33,<0.10,38.43,122.05,1324.39,460150.15,3226.42,460.82,412.16,1257.03,0.36,45.92,1.6,11.79,4.92,1333,2.37,14.52,8.39,21.47,0.65,0.4,2.78,0.63,15.88,1.04,2.67,0.22,0.14,<0.04,0.01,0.07,0.02,8.37,1.06,1.22,0.28,1.18,0.2,0.06,0.2,0.03,0.12,0.03,0.07,0.01,0.04,0.01,0.04,0.02,1.3,0.1,0.06
45_FH2_3_7,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_7,11.91,<0.08,36.65,159.03,1114.32,463868.73,316.93,582.92,303.98,1682.07,0.22,43.84,0.69,5.06,1.74,57.75,0.05,0.91,0.52,9.63,0.43,1.72,<0.21,0.47,16.09,1.35,1.8,0.21,0.02,<0.03,<0.00,0.06,0.01,8.82,1.2,1.11,0.29,1.1,0.25,0.06,0.24,0.04,0.17,0.03,0.05,0.01,0.06,0.01,0.04,0.01,0.16,0.09,0.07
46_FH2_3_7,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_7,18.64,<0.07,35.72,171.45,1098.04,464137.67,349.25,482.77,313.89,1425.37,0.37,24.95,0.65,4.28,1.7,46.36,0.03,0.4,0.54,9.22,0.48,1.47,<0.14,0.52,14.15,1.01,1.67,0.12,0.01,0.04,0.01,0.08,0.01,8.59,0.84,0.86,0.2,0.73,0.14,0.04,0.17,0.02,0.11,0.03,0.05,0.01,0.06,0.01,0.05,0.01,0.11,0.08,0.07
47_FH2_3_7,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_7,23.16,0.29,38.14,142.64,894.92,463747.3,85.34,591.97,340.14,2259.95,0.2,16.28,0.61,4.02,2.73,348.41,0.16,0.92,2.57,11.18,0.29,1.64,0.22,0.44,15.09,1.23,1.85,0.11,<0.02,<0.06,0.01,0.08,0.01,5.74,1.15,1.17,0.29,1.13,0.21,0.05,0.19,0.02,0.16,0.03,0.1,0.01,0.03,0.01,0.05,0.01,0.69,0.09,0.09
48_FH2_3_8,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_8,18.38,0.1,37.53,285.48,964.97,445947.88,312.9,428.76,318.27,29323,0.44,39.25,0.79,3.83,47.08,62.19,0.12,0.99,1.44,11.44,0.26,1.28,<0.12,0.54,48.56,1.21,1.35,0.2,0.01,<0.03,0,0.08,0.02,8.36,1.4,1.44,0.3,1.1,0.18,0.04,0.17,0.03,0.13,0.03,0.07,0.01,0.06,0.01,0.04,0.01,0.29,0.16,0.07
49_FH2_3_8,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_8,15.56,<0.08,38.01,170.49,1020.89,464429.51,136.39,480.03,351.53,1404.09,0.32,34.12,0.96,3.78,1.52,37.48,0.05,0.78,0.93,9.47,0.31,1.89,<0.12,0.57,13.02,0.71,1.73,0.18,0.02,0.18,0.01,0.07,0.02,7.2,0.64,0.68,0.16,0.58,0.11,0.02,0.1,0.02,0.1,0.02,0.05,0.01,0.04,0.01,0.06,0.01,0.18,0.07,0.08
50_FH2_3_8,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_8,12.89,0.09,39.16,134.64,983.9,463886.9,209.33,490.44,308.76,2202.44,0.37,40.02,0.63,3.69,2.63,49.19,0.09,1.08,0.76,9.72,0.41,1.87,<0.13,0.45,16.35,1.13,1.49,0.17,0.03,0.02,0.01,0.47,0.01,8.03,1.03,0.99,0.25,0.9,0.18,0.04,0.15,0.03,0.15,0.03,0.07,0.02,0.04,0.02,0.04,0.01,0.13,0.08,0.09
51_FH2_3_9,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_9,29.47,0.11,43.62,92.87,848.87,462895.28,1369.24,490.76,365.69,2007.94,0.41,19.86,0.37,6.16,2.61,28.99,0.03,0.92,1.77,11.95,0.8,1.31,<0.15,0.48,14.18,0.91,1.41,0.11,0.02,0.26,0,0.15,0.01,5.41,0.88,0.98,0.23,0.82,0.16,0.04,0.18,0.02,0.13,0.02,0.06,0.01,0.06,0.01,0.04,0.01,0.33,0.08,0.06
52_FH2_3_9,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_9,17.25,<0.04,40.75,181.66,931.06,457792.63,6360.73,502.61,403.25,1351.51,0.36,22.4,0.41,17.45,2.26,55.58,0.08,1.46,0.96,11.63,0.57,1.53,<0.17,0.45,13.34,1.13,2.07,0.13,0.07,0.1,0.01,0.15,0.02,6.84,1,1,0.25,0.9,0.17,0.04,0.22,0.02,0.15,0.03,0.08,0.01,0.05,0.01,0.05,0.02,0.17,0.14,0.09
53_FH2_3_9,Bedrock,Northern,NA,FH,FH2,Burnham,FH2_3,FH2_3_9,34.18,0.1,42.21,115.47,891.77,464804.32,104.63,565.33,356.32,949.86,0.45,23.69,0.43,3.8,0.83,26.73,0.03,0.96,0.89,9.71,1.02,1.68,<0.11,0.44,14.08,1.03,1.62,0.18,0.03,0.09,0.02,0.13,0.02,5.21,0.98,1.05,0.24,0.84,0.17,0.04,0.17,0.02,0.13,0.02,0.06,0.01,0.03,0.01,0.03,0.01,0.21,0.09,0.06
54_FH3_1_1,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_1,15.9,<0.05,43.49,74.41,1114.76,464625.2,101.79,516.27,427.57,837.34,0.44,33.84,1.18,4.15,34.7,172.4,0.53,2.54,1.98,15.09,0.97,0.86,0.35,0.55,11.96,0.7,1.97,0.15,0.09,0.05,0,0.05,0.02,12.27,0.8,1,0.22,0.88,0.15,0.03,0.15,0.02,0.1,0.02,0.05,0.01,0.02,0.01,0.04,0.01,1.63,0.11,0.09
55_FH3_1_1,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_1,11.96,<0.06,44.73,125.88,1157.57,459544.48,4917.91,461.75,523.81,735.13,0.36,19.02,0.81,14.02,11.52,79.55,0.46,2.62,2.23,12.75,0.8,1.17,0.53,0.58,12.7,0.9,1.95,0.11,0.16,<0.04,0,0.06,0.02,9.9,0.92,1.08,0.26,0.99,0.18,0.04,0.16,0.02,0.12,0.02,0.06,0.01,0.04,0.01,0.06,0.01,0.57,0.1,0.1
56_FH3_1_1,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_1,13.31,<0.05,40.46,76.54,1192.7,463940.91,599.74,473.77,467.11,982.71,0.4,36.91,1.52,5,13.97,222.31,0.39,3.65,1.95,14.17,0.69,1.03,0.6,0.6,13.09,0.84,2.14,0.14,0.09,<0.02,0.01,0.08,0.02,9.16,0.92,1.09,0.26,0.96,0.2,0.04,0.21,0.02,0.13,0.03,0.06,0,0.04,0.01,0.06,0.01,0.8,0.14,0.09
57_FH3_1_2,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_2,19.86,0.19,31.97,63.22,1275.79,463492.25,601.19,489.85,540.25,1454.86,0.54,43.71,1.01,4.78,2.69,253.06,0.52,2.69,2.91,14.32,0.82,0.95,0.7,0.89,14.99,1.17,3.57,0.25,0.1,0.12,0.01,0.11,0.03,10.14,1.31,1.79,0.4,1.57,0.31,0.06,0.3,0.04,0.19,0.04,0.09,0.01,0.06,0.01,0.09,0.02,1.17,0.28,0.09
58_FH3_1_2,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_2,14.98,0.09,38.99,943.5,2068.78,388890.37,1911.28,410.1,882.11,110724.11,0.57,54.21,2.37,10.04,145.12,199.38,0.54,2.33,1.89,17.77,0.94,0.43,1.06,1.81,322.85,2.19,3.08,0.3,0.26,0.34,0.03,0.15,0.11,16.87,2.92,2.85,0.61,2.38,0.42,0.11,0.41,0.06,0.32,0.06,0.18,0.03,0.13,0.02,0.1,0.04,1.18,0.25,0.12
59_FH3_1_2,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_2,17.71,<0.27,20.99,1539.94,2676.34,254336.57,41635.4,860.19,1221.44,248095.81,0.69,53.95,2.61,100.71,349.12,273.89,0.78,2.51,3.68,14.8,0.61,<0.84,0.71,2.32,733.43,5.26,4.19,0.19,0.27,0.19,<0.01,0.26,0.13,24.69,6.89,5.99,1.35,5.04,0.86,0.22,0.86,0.14,0.78,0.14,0.4,0.06,0.22,0.05,0.14,0.02,1.61,0.42,0.12
60_FH3_1_3,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_3,12.83,0.24,37.98,83.36,1087.36,464489,208.36,525.96,401.49,1071.15,0.43,24.47,0.94,4.29,2.23,59.34,0.17,1.4,1.54,11.23,0.41,1.13,0.22,0.67,13.44,0.89,1.65,0.13,0.05,0.04,0.01,0.06,0.03,10.18,1.04,1.12,0.26,1,0.18,0.04,0.19,0.03,0.14,0.03,0.06,0.01,0.03,0.01,0.06,0.01,0.33,0.14,0.16
61_FH3_1_3,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_3,14.81,0.06,37.87,81.7,1114.4,464404.75,140.01,522.2,438.45,1222.16,0.42,24.94,1,4.06,3.12,85.68,0.24,2.45,1.85,13.03,0.33,1.14,0.47,0.68,13.11,0.77,1.62,0.12,0.04,<0.02,0.01,0.04,0.02,10.32,0.85,1.03,0.23,0.87,0.19,0.03,0.18,0.02,0.11,0.02,0.04,0.01,0.03,0,0.05,0.01,0.42,0.12,0.12
066_FH3_1_3,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_1,FH3_1_3,13.73,0.05,38.39,82.32,1096.96,464481.7,97.3,544.3,460.66,1113.05,0.51,22.6,0.96,5.48,2.7,118.08,0.37,2.59,2.5,11.47,0.51,1.09,0.4,0.58,12.23,0.78,1.85,0.13,0.11,0.03,0.03,0.09,0.04,8.98,0.84,0.99,0.25,0.79,0.17,0.05,0.15,0.02,0.1,0.03,0.06,0.01,0.06,0.01,0.05,0.02,0.49,0.15,0.13
067_FH3_2_4,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_2,FH3_2_4,13.61,<0.06,39.46,127.2,1014.77,464734.42,57.59,536.97,568.71,748.2,0.49,53.91,0.68,3.19,1.61,106.49,0.18,2.06,1.53,12,0.23,1.66,0.39,0.61,11,0.6,1.38,0.21,0.05,<0.02,0.01,0.06,0.04,7.88,0.67,0.85,0.2,0.68,0.13,0.05,0.13,0.02,0.11,0.02,0.04,0.01,0.04,0.01,0.04,0.02,0.43,0.11,0.07
068_FH3_2_4,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_2,FH3_2_4,13.17,0.09,40.17,173.29,1106.97,464452.26,361.55,491.02,523.72,673.15,0.39,26.56,0.78,4.06,0.6,88.69,0.09,1.54,0.55,9.88,0.23,1.59,0.36,0.54,11.96,0.69,1.51,0.11,<0.01,<0.03,0.01,0.06,0.01,8.6,0.7,0.86,0.21,0.82,0.13,0.03,0.15,0.02,0.11,0.02,0.05,0.01,0.03,0.01,0.04,0.01,0.36,0.11,0.06
069_FH3_2_4,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_2,FH3_2_4,18.65,<0.05,36.51,119.3,992.7,463370.56,1549.31,552.23,455.43,581.02,0.46,16.04,0.38,8.68,0.95,67.71,0.15,1.6,0.98,10.48,0.21,1.33,0.23,0.47,9.59,0.42,1.18,0.08,0.09,<0.03,0.01,0.03,0.02,7.52,0.45,0.56,0.12,0.5,0.1,0.03,0.08,0.02,0.07,0.01,0.03,0.01,0.01,0,0.02,0.01,0.25,0.06,0.06
070_FH2_2_5,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_2,FH2_2_5,17.94,<0.02,33.73,95,990.95,464514.34,61.29,488.35,504.16,1352.72,0.5,50.75,2.27,2.4,2.75,48.46,0.08,1.74,1.94,11.64,0.31,0.37,0.18,0.63,11.55,0.49,1.92,0.2,0.05,<0.02,0.01,0.09,0.02,8.66,0.75,1.22,0.24,0.81,0.19,0.04,0.12,0.02,0.08,0.02,0.04,0.01,0.03,0.01,0.04,0.01,0.59,0.13,0.06
08_FH3_2_5,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_2,FH3_2_5,17.93,<0.18,32.95,100.85,1114.81,464425.66,227.68,493.96,427.64,1081.39,0.47,28.27,1.37,4.32,1.18,97.59,0.1,1.74,0.67,10.68,0.29,0.44,0.38,0.61,12.24,0.71,1.74,0.13,<0.01,<0.04,0.01,0.08,0.02,9.59,0.87,1.12,0.26,1,0.16,0.05,0.2,0.02,0.14,0.02,0.06,0,0.03,0,0.05,0.01,0.65,0.15,0.06
09_FH3_2_5,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_2,FH3_2_5,14.35,0.19,38.28,137.89,1137.12,464490.89,59.5,528.19,455.95,937.99,0.35,29.99,2.67,3.64,3.55,257.67,0.11,1.08,0.53,10.55,0.28,0.47,0.82,0.55,13.07,0.76,2.04,0.12,0.02,<0.03,<0.00,0.05,0.01,9.97,0.82,1.02,0.22,0.89,0.14,0.04,0.14,0.02,0.11,0.02,0.05,0.01,0.02,0,0.05,0,0.65,0.14,0.06
05_FH3_2_6,Bedrock,Northern,NA,FH,FH3,Burnham,FH3_2,FH3_2_6,17.39,<0.03,30.14,115.16,1067.49,462910.92,39.34,505.17,500.71,3601.71,0.56,39.14,0.89,4.65,4.14,146.13,0.16,2.87,2.49,15.86,0.41,0.4,0.32,0.78,14.4,0.86,6.96,0.19,0.06,0.17,0.01,0.13,0.03,9.48,0.8,1.03,0.24,0.92,0.16,0.05,0.15,0.02,0.13,0.02,0.08,0.01,0.1,0.02,0.21,0.01,1.34,0.24,0.14
