Analysis,Geology,Province,Region,Site,SubSite,Formation,Band,Nodule,Li7,Be9,B11,Mg24,Al27,Si28,P31,S33,K39,Ca42,Sc45,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn68,Ga69,Ge72,As75,Rb85,Sr88,Y89,Zr90,Nb93,Mo95,Cd111,In115,Sn118,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
302_CS3_4_1,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_1,1.81,<0.20,90.86,16.58,283.89,465394.35,<254.95,772.05,292.6,779.33,<0.39,15.83,1.66,9.86,<0.26,39.22,<0.13,1.26,1.23,19.83,0.18,<0.58,<0.43,0.45,3.3,0.62,1.01,0.08,0.09,0.3,<0.01,0.09,0.03,0.93,0.59,0.51,0.18,0.58,0.14,0.03,0.12,0.03,0.15,0.02,0.08,0,0.08,0,0.03,0.01,0.74,0.08,0.57
303_CS3_4_2,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_2,1.65,<0.35,80.35,29.24,221.47,463617.13,<333.61,794.56,268.96,3557.32,<0.43,25.42,1.2,10.15,1.55,31.39,<0.12,0.31,1.93,18.71,<0.15,0.79,<0.50,0.36,12.3,0.78,0.76,0.08,<0.05,1.2,<0.01,0.2,0.04,0.87,0.78,0.55,0.15,0.62,0.37,0.01,0.15,0.03,0.13,0.05,0.05,0.02,0.06,0.02,0.04,0.04,0.36,0.06,0.76
308_CS3_4_2,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_2,3.01,<0.08,98.63,38.56,243.4,461764.03,<336.56,750.32,275.22,6393.18,<0.45,7.34,1.48,9.41,2.77,28.38,0.18,0.64,1.98,12.3,0.23,1.49,0.84,0.53,20.99,1.34,0.91,0.17,0.18,1.95,0.18,0.28,0.16,1.15,1.31,0.98,0.39,1.41,0.3,0.24,0.51,0.17,0.37,0.2,0.21,0.13,0.24,0.11,0.2,0.16,0.82,0.13,0.95
309_CS3_4_2,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_2,2.23,<0.07,99.92,35.85,270.27,462018.99,<316.89,730.08,323.63,5928.52,<0.38,14.98,2.41,9.66,2.61,54.85,<0.10,0.5,2.51,16.78,0.24,1.68,0.59,0.51,17.34,1.24,1.55,0.18,0.14,1.56,0.09,0.05,0.11,1.3,1.3,0.96,0.31,1.24,0.33,0.08,0.38,0.05,0.28,0.03,0.11,0.04,0.08,0.03,0.23,0.04,1.29,0.08,0.74
310_CS3_4_3,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_3,1.45,<0.08,89.77,19.08,274.46,463973.97,1350.63,720.63,296.48,803.4,<0.46,26.59,2.18,11.86,0.47,64.37,<0.12,0.64,1.36,15.17,<0.15,0.93,0.73,0.48,3.57,0.9,0.79,0.19,<0.08,0.62,0.02,0.16,0.05,1.09,0.8,0.61,0.2,0.88,0.05,0.02,0.14,0.03,0.07,0.08,0.08,0.02,0.13,0.01,0.03,0.04,0.46,0.07,0.7
311_CS3_4_3,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_3,1.33,1.11,99.58,22.41,210.64,464750.84,<291.03,705.11,251.02,2000.25,<0.39,10.71,0.89,9.09,1.03,29.81,<0.10,1.09,2.31,16.33,<0.12,1.13,<0.46,0.32,6.84,1.31,0.77,0.03,0.17,0.77,0.01,0.07,0.05,0.83,1.28,0.89,0.35,1.28,0.3,0.07,0.41,0.04,0.2,0.04,0.08,0.03,0.09,0.02,0.02,0.01,0.25,0.03,0.86
312_CS3_4_3,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_3,1.97,0.13,88.72,23.42,249.01,464646.52,<335.38,717.92,272.44,2087.89,<0.44,10.08,0.93,9.53,1.1,33.98,<0.11,2.71,1.55,16.53,<0.14,0.61,<0.44,0.4,7.68,1,0.86,0.06,<0.06,0.87,0.03,0.08,0.04,0.7,1.03,0.7,0.26,0.99,0.18,0.04,0.23,0.02,0.16,0.04,0.07,0.02,0.04,0.02,0.01,0.01,0.18,0.04,0.86
313_CS3_4_4,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_4,1.29,0.5,107.43,16.85,216.8,465629.41,<369.02,785.89,262.44,486.58,<0.47,15.07,0.84,9.44,<0.33,35.84,<0.12,0.43,1.45,12.22,<0.16,<0.65,<0.50,0.32,2.71,0.78,0.8,0.09,<0.08,0.09,0.02,0.08,0.02,1.08,0.75,0.56,0.19,0.77,0.09,0.04,0.1,0.03,0.18,0.03,0.11,0.01,0.06,0.01,0.03,0.01,0.42,0.03,0.73
314_CS3_4_4,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_4,1.49,0.44,98.77,16.23,245.6,465411.19,<319.04,788.12,269.82,702.8,<0.45,10.3,1.13,10.17,0.34,35.69,<0.13,0.61,1.61,16.97,0.78,<0.64,<0.47,0.36,14.85,0.86,1.03,0.11,0.16,0.39,0.04,0.1,0.02,97.24,0.69,0.57,0.18,0.65,0.08,0.05,0.26,0.06,0.1,0.03,0.09,0.01,0.06,0.02,0.01,0.02,0.74,0.05,0.63
315_CS3_4_4,Bedrock,Transitional,NA,CS,CS3,Beeston,CS3_4,CS3_4_4,1.65,<0.22,103.46,15.25,211.38,465651.89,<292.74,745.7,268.43,540.31,<0.54,9.58,0.65,11.6,<0.34,33.67,<0.13,0.64,1.2,16.82,<0.14,<0.65,<0.48,0.34,2.61,0.72,0.86,0.05,<0.06,0.26,0.03,0.13,0.03,1.22,0.58,0.46,0.14,0.6,0.08,0.01,0.19,0.02,0.1,0.01,0.05,0.01,0.04,0.01,0.01,<0.00,0.38,0.03,0.74
