,tsne1,tsne2,class
190,2.1643143,-1.8670934,CS
191,0.95798326,0.55255324,CS
192,-3.2193022,2.3973489,CS
193,-20.30832,1.8026361,CS
194,-6.6087837,18.696857,CS
195,-8.959625,13.93881,CS
196,-8.879674,15.825274,CS
197,-7.2907233,13.799159,CS
198,-21.662182,2.0340319,CS
199,4.185108,12.261424,CS
200,-16.47783,17.711714,CS
201,-5.4353266,20.92314,CS
202,-12.831868,14.440613,CS
203,-15.113401,13.122695,CS
204,-8.452436,14.62954,CS
205,-4.6171756,11.53755,CS
206,-12.5165615,5.9346933,CS
207,-0.056250233,10.334351,CS
208,8.354232,15.145841,CS
209,9.79001,14.54768,CS
210,3.3101838,15.216152,CS
211,0.88244766,17.94063,CS
212,0.105055794,19.180168,CS
213,9.2054825,13.547547,CS
214,-14.304328,11.80338,CS
215,-12.349069,10.63172,CS
216,-11.149186,13.174325,CS
217,2.6731858,14.3434,CS
218,-10.490343,16.141314,CS
219,0.3170795,17.468315,CS
220,-15.460884,13.861005,CS
221,-5.8754306,10.615351,CS
222,-9.056162,12.589322,CS
223,-6.360424,10.017093,CS
224,2.9407933,14.175426,CS
225,5.2795334,15.94767,CS
226,5.163263,14.699148,CS
227,27.66365,4.781973,CS
228,-17.617092,-5.09624,CS
229,-17.618364,-5.10737,CS
230,-6.164214,11.430835,CS
231,-9.2885685,10.309815,CS
232,-7.957954,11.071331,CS
233,-2.031039,9.786404,CS
234,24.457909,6.7409887,CS
235,6.329306,14.850105,CS
236,-11.288,-10.351997,CS
237,-12.879445,-9.735732,CS
238,-12.842076,-9.974271,CS
239,-14.085331,-10.164214,CS
240,-12.135807,-11.012937,
241,-15.172575,-9.777859,
242,-11.237041,-11.943692,
243,-24.970829,-6.248348,
244,-13.268887,-8.897307,
245,-13.295485,-10.699157,
246,-12.637044,-11.341082,
247,-8.742726,-10.62693,
248,-12.040953,-10.144734,
249,-10.364756,-11.758706,
250,-11.366629,-9.648938,
251,-13.237924,-7.748376,
252,-12.937965,-6.9764156,
253,-13.651618,-7.828938,
254,12.434379,-14.875471,
255,6.138089,-6.566217,
256,7.9408374,-12.829961,
257,4.096303,4.4883757,
258,4.7368317,4.476619,
259,3.619326,4.3360796,
260,8.9486885,-12.50491,
261,9.400776,-11.917047,
262,9.432151,-10.96604,
263,-18.740376,-1.7081848,
264,-11.016076,-19.510733,
265,-16.785618,-1.7518388,
266,-14.570975,1.043314,
267,-12.136496,1.9321675,
268,1.8496481,5.88547,
269,-21.15815,0.08935329,
270,-18.217136,-0.7618559,KQ
271,-10.34922,-5.212077,KQ
272,2.823098,-7.122638,KQ
273,-12.562257,-3.1486502,KQ
274,12.968354,-12.170877,KQ
275,-11.979383,-19.883331,KQ
276,-18.912783,-0.35016358,KQ
277,18.47491,15.18534,KQ
278,-13.770468,0.30222294,KQ
279,-12.80996,0.031705175,KQ
280,-12.922081,1.4957577,KQ
281,1.6233324,5.172146,KQ
282,-10.685949,-18.351591,KQ
283,13.615733,-2.4602563,KQ
284,1.5317026,-8.8700075,KQ
285,12.508517,-4.399461,KQ
286,2.223077,-8.327873,KQ
287,20.452938,-0.9229545,KQ
288,21.263763,0.49754736,KQ
289,8.525975,1.9745866,KQ
290,-19.345392,-2.7802064,KQ
291,22.22244,0.5865676,KQ
292,1.1177739,7.182192,KQ
293,14.778781,3.7690158,KQ
294,15.805345,-1.1850852,KQ
295,6.8980613,17.92403,KQ
296,18.273613,-8.897929,KQ
297,14.763623,-0.32517365,AR
298,-14.885037,-1.2669991,AR
299,13.850994,1.8792382,AR
300,14.304533,3.0337036,AR
301,22.418467,23.160501,AR
302,-7.8847017,19.502384,AR
303,-14.991849,2.537938,AR
304,-23.019777,0.8856814,AR
305,18.878132,2.8754878,AR
306,18.22548,-8.272402,AR
307,15.023772,-8.218668,AR
308,14.249664,0.34109148,AR
309,14.419205,1.0143553,AR
310,16.821587,2.7145672,AR
311,15.073157,8.434167,AR
312,15.800794,2.999773,AR
313,-0.7532404,20.229364,AR
314,-21.948383,-1.8189898,AR
315,-15.310867,-2.8226948,AR
316,-23.710056,0.19240512,AR
317,16.658905,1.7195374,AR
318,-15.011053,-2.3151927,AR
319,-8.57964,-2.2611,AR
320,3.126673,18.98962,AR
321,5.2380013,18.810226,AR
322,5.170744,18.717842,AR
323,11.108764,-13.9995365,AR
324,11.051231,-12.986535,AR
325,12.602298,-15.522888,AR
326,9.998673,-10.752238,AR
