,tsne1,tsne2,inlierLabel
194,-22.948143,3.948353,1
195,-4.9284573,5.817067,1
196,16.31123,-10.764911,-1
197,-17.348068,6.410191,1
198,11.068168,8.276958,1
199,12.652812,8.272569,-1
200,12.746515,8.251759,-1
201,9.277466,0.9853388,1
202,8.436775,1.0170081,1
203,7.9116626,1.6490471,1
204,7.1329956,1.4907141,1
205,6.7004375,1.7766324,1
206,7.962499,2.9767356,1
207,-6.6612525,-21.355362,-1
208,-6.3852587,-21.02534,-1
209,4.690273,-17.656456,-1
210,-7.8355093,4.879795,1
211,-6.161854,4.5680895,1
212,-6.864137,5.5485606,1
213,-7.466373,2.8048098,1
214,-6.904257,3.5981574,1
215,-10.7225065,4.6355557,1
216,17.867144,3.7786517,-1
217,17.492903,3.0318403,1
218,16.86626,4.6815214,1
219,-24.516678,11.013396,1
220,-24.739738,14.678056,-1
221,-28.724678,6.833668,-1
222,16.664238,-5.049557,1
223,17.3258,-4.839267,1
224,17.551157,-4.3500915,1
225,21.022083,-0.67034924,1
226,19.168476,-0.40336832,1
227,19.70229,-1.0375366,1
228,15.927918,-6.427729,-1
229,17.261488,-2.1106815,1
230,16.933973,-2.9569035,1
231,15.996012,-2.099637,1
232,18.504469,-2.228063,-1
233,17.907366,-2.5681558,-1
234,-5.3560643,2.9147763,1
235,-10.241215,5.198508,1
236,-6.153257,-17.15145,1
237,14.610375,-4.4941344,1
238,28.561787,1.9323463,-1
239,16.403982,-4.377547,1
240,11.338941,-4.003812,-1
241,9.385622,-3.5652425,1
242,19.400208,-3.4997113,1
243,28.636856,0.7041563,-1
244,28.280886,1.0602628,-1
245,27.73071,0.72735524,-1
246,4.334057,11.106681,-1
247,4.414559,12.012581,-1
248,0.8868633,13.965064,-1
249,17.13505,-7.927124,1
250,14.742663,-2.457316,1
251,13.712587,9.067627,-1
252,27.099203,4.6845717,-1
253,26.023746,4.4626417,-1
254,26.379356,4.4039254,-1
255,17.582169,-6.5369782,1
256,18.46916,-5.7379956,-1
257,19.163029,-6.0212765,-1
258,-11.760658,-0.72112745,-1
259,-21.424864,13.275511,-1
260,-10.408339,2.9689217,-1
261,23.803165,-2.9884684,-1
262,21.99547,-4.6338887,-1
263,21.049067,-4.5690804,-1
264,-12.02216,3.1548858,-1
265,-9.633355,3.9382749,1
266,-13.112688,5.1118283,1
267,16.738806,-0.023152253,1
268,19.165155,0.2842407,1
269,17.794044,-0.02519501,-1
270,15.674271,-3.8945835,1
271,19.223476,-4.5018225,1
272,19.234535,-5.1275635,-1
273,21.07435,-2.8390284,-1
274,20.169025,-2.4327903,1
275,21.392101,-5.9136534,-1
276,20.211407,-7.1567674,-1
277,22.830164,-1.9577634,-1
278,20.5006,0.03069134,1
279,-12.181247,4.8192134,1
280,-12.479044,4.9098487,1
281,-10.640058,6.603228,-1
282,-14.082058,-8.309469,-1
283,-14.038377,-8.418224,-1
284,14.873388,-6.5122666,1
285,11.271004,-11.403642,-1
286,11.7453575,-11.167441,-1
287,12.757967,-10.844084,1
288,12.257684,-6.3374467,-1
289,12.206597,-6.2580605,-1
290,12.130906,-7.3658495,-1
291,-13.38201,0.7413064,1
292,0.60098225,5.4304724,1
293,-6.333825,-18.244013,1
294,27.422703,1.7170062,-1
295,-13.531186,-0.61423177,-1
296,16.524397,-8.182365,1
297,17.642496,-10.864692,-1
298,17.8434,-11.226768,-1
299,17.10182,-11.094265,-1
300,24.009365,-4.376604,-1
301,24.555431,-3.9905384,-1
302,24.54569,-4.4291573,-1
303,4.44956,-19.935764,-1
304,5.333809,-19.537546,-1
305,-5.662739,-19.934992,-1
306,-16.856302,2.0491862,-1
307,-15.208939,1.818371,1
308,-15.538106,2.2710717,1
309,11.789561,-1.691501,-1
