,Number of Features,F1 Score
0,1,0.27345329468739504
1,2,0.2831962381113898
2,3,0.2979848226984609
3,4,0.273412994227919
4,5,0.2494260783802932
5,6,0.26985061135217986
6,7,0.31047865281088843
7,8,0.2527740455212642
8,9,0.27347572002347237
9,10,0.2702584799098781
10,11,0.25728682520094037
11,12,0.33408991112245134
12,13,0.23406738009820036
13,14,0.30917421309861043
