,features,rfe ranking
1,GOLD,1
2,COPPER,1
3,IRON,1
4,NICKEL,1
5,LEAD,1
6,ANTIMONY,1
7,TIN,1
8,ZINC,1
9,MANGANESE,1
11,COBALT,1
12,BISMUTH,1
13,SILVER,1
0,ARSENIC,2
10,CHROMIUM,3
