REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,BISMUTH,SILVER,BULLION,,,,,
BM011,denarius,I O M CAPITOLINVS ,VESTA P R QVIRITIVM,Gaul,Civil War,Civil War,0.004,0.091,0.29,0.004,0,0.45,0.003,0.0023,0.0005,0.00038,0.0022,0.043,0.049,99.06,99.65,18.17,15.62,38.4,0.86,2.11
BM012,denarius,SER GALBA CAESAR AVG ,DIVA AVGVSTA,Rome,Galba,Galba,0.008,0.572,9.77,0.008,0.001,1.17,0.006,0.0023,0.0009,0.00003,0.00022,0.0002,0.016,88.45,90.21,18.43,15.65,38.48,0.85,2.09
BM013,denarius,IMPERATOR. GALBA ,CONCORDIA PROVINCIARVM,Spanish,Galba,Galba,0.008,0.243,0.63,0.007,0,0.48,0.002,0.0112,0.0002,0.00002,0.00007,0.0001,0.139,98.48,99.34,18.25,15.64,38.41,0.86,2.1
BM014,denarius,GALBA IMP,"HISPANIA, bust r.",Spanish,Galba,Galba,0.009,0.382,1.25,0.016,0,0.33,0.003,0.0246,0.0018,0.00718,0.00011,0.0002,0.176,97.8,98.68,18.31,15.65,38.53,0.85,2.1
BM015,denarius,SER GALBA IMP,"HISPANIA, bust r.",Gaul,Galba,Galba,0.006,0.423,4.33,0.016,0.002,0.45,0.005,0.0677,0.029,0.00026,0.00251,0.0003,0.045,94.62,95.54,18.45,15.66,38.58,0.85,2.09
BM016,denarius,GALBA IMP,TRES GALLIA,Gaul,Galba,Galba,0.004,0.404,3.11,0.009,0,0.4,0.003,0.0205,0.0123,0.00009,0.0001,0.0002,0.061,95.98,96.84,18.43,15.66,38.54,0.85,2.09
BM017,denarius,IMP GALBA ,DIVA AVGVSTA,Spanish,Galba,Galba,0.005,0.307,1.09,0.005,0,0.88,0.004,0.2183,0.0003,0.00004,0.00013,0.0003,0.058,97.43,98.68,18.3,15.67,38.5,0.86,2.1
BM018,denarius,IMP GALBA ,SPQR on shield,Spanish,Galba,Galba,0.005,0.298,0.97,0.011,0,1.01,0.004,0.0026,0.0003,0.00004,0.00012,0.0002,0.02,97.68,99.01,18.74,15.69,38.81,0.84,2.07
BM019,denarius,IMP GALBA ,SPQR on shield,Spanish,Galba,Galba,0.006,0.258,1.25,0.007,0,0.41,0.001,0.0064,0.0021,0.00005,0.0001,0.0002,0.051,98,98.73,18.35,15.65,38.54,0.85,2.1
BM020,denarius,GALBA IMPERATOR ,[LIBERTAS]RESTITVTA,Spanish,Galba,Galba,0.008,0.72,2.1,0.004,0,0.1,0.003,0.0174,0.0021,0.00007,0.00168,0.0438,0.03,96.98,97.82,18.54,15.68,38.74,0.85,2.09
BM021,denarius,GALBA IMPERATOR ,VIRTVS,Spanish,Galba,Galba,0.013,0.458,4.72,0.004,0,0.27,0.003,0.0049,0.0051,0.00015,0.0001,0.0002,0.073,94.45,95.25,18.43,15.65,38.48,0.85,2.09
BM022,denarius,GALBA IMPERATOR ,CONCORDIA PROVINCIARVM,Gaul,Galba,Galba,0.119,0.001,0.07,0.029,0.059,0.79,16.468,65.1766,3.0202,0.00012,0.00009,0.0047,0.048,14.22,15.05,,,,,
BM023,denarius,SER GALBA IMPERATOR ,VICTORIA P R,Gaul,Galba,Galba,0.009,0.897,1.72,0.028,0,0.3,0.007,0.2491,0.0016,0.004,0.00021,0.0002,0.117,96.66,97.98,18.3,15.64,38.48,0.85,2.1
BM024,denarius,SER GALBA IMPERATOR ,VIRTVS,Gaul,Galba,Galba,0.071,0.032,89.78,0.049,0.013,0.14,0.068,0.0136,0.0008,0.00011,0.00006,0.0001,0.008,9.83,10,,,,,
BM025,denarius,SER GALBA IMP ,VICTORIA Victory inscribing P R on shield resting on column.,Gaul,Galba,Galba,0.003,0.411,3.36,0.003,0,0.42,0.003,0.0129,0.0054,0.00026,0.00144,0.0312,0.06,95.7,96.58,18.44,15.66,38.58,0.85,2.09
BM026,denarius,SER GALBA IMPERATOR ,VIRTVS,Gaul,Galba,Galba,0.06,0.012,99.7,0.035,0.016,0.13,0.06,0.0062,0.0007,0.00187,0.00117,0.0011,0.013,-0.03,0.12,,,,,
BM027,denarius,IMP GALBA CAESAR AVG P P ,FORTVNA AVG,Lyon,Galba,Galba,0.003,0.375,4.12,0.007,0.001,0.35,0.003,0.0449,0.0103,0.0007,0.00056,0.0007,0.06,95.02,95.81,18.46,15.66,38.61,0.85,2.09
BM028,denarius,A VITELLIVS IMP GERMAN ,VICTORIA AVGVSTI,Spanish,Vitellius,Vitellius,0.005,0.394,1.67,0.007,0,0.45,0.004,0.0108,0.0006,0.0001,0.00629,0.1555,0.091,97.21,98.14,18.24,15.63,38.42,0.86,2.11
BM029,denarius,A VITELLIVS IMP GERMAN ,FIDES EXERCITVVM,Lyon,Vitellius,Vitellius,0.006,0.449,3.69,0.01,0,0.38,0.008,0.0776,0.0137,0.00017,0.00008,0.0004,0.055,95.3,96.19,18.44,15.66,38.58,0.85,2.09
BM030,denarius,A VITELLIVS IMP GERMAN ,VESTA P R QVIRITIVM,Lyon,Vitellius,Vitellius,0.004,0.431,4.56,0.006,0.001,0.36,0.003,0.0784,0.0157,0.00046,0.0001,0.0002,0.053,94.49,95.33,18.43,15.66,38.56,0.85,2.09
BM031,denarius,IMP CAESAR VESPASIANVS,CONSENSVS EXERCIT. Two soldiers facing each other.,UG3,Vespasian,Vespasian,0.003,0.492,3.29,0,0,0.45,0.002,0.0574,0.0024,0.00008,0.00007,0.0005,0.036,95.66,96.64,18.52,15.67,38.73,0.85,2.09
BM032,denarius,IMP CAESAR VESPASIANVS,ROMA PERPETVA,UG3,Vespasian,Vespasian,0.007,0.542,3.05,0.003,0,0.42,0.002,0.0139,0.0045,0.00004,0.00012,0.0005,0.063,95.89,96.92,18.56,15.67,38.79,0.84,2.09
BM033,denarius,IMP CAES VESPAS AVG ,"CONCORDIA AVG, Ceres std. l.  ?",Ephesus,Vespasian,Vespasian,0.011,0.59,14.11,0.006,0.002,0.29,0.012,0.0023,0.001,0.00007,0.00022,0.0002,0.055,84.92,85.85,18.61,15.68,38.78,0.84,2.08
BM034,denarius,IMP CAESAR VESPAS AVG COS II TR P P P. ,"AVG in wreath, ?",Ephesus,Vespasian,Vespasian,0.012,0.605,12.96,0.006,0.001,0.57,0.02,0.0973,0.0022,0.00007,0.00006,0.0003,0.048,85.68,86.9,18.56,15.68,38.74,0.84,2.09
BM035,denarius,IMP CAESAR VESPAS AVG COS II TR P P P. ,"AVG in wreath, ?",Ephesus,Vespasian,Vespasian,0.017,0.498,28.34,0.007,0.004,0.31,0.016,0.0169,0.0027,0.00004,0.00012,0.0002,0.036,70.75,71.6,18.56,15.67,38.72,0.84,2.09
BM036,denarius,IMP CAESAR VESPAS AVG COS II TR P P P. ,"PACI ORB TERR AVG, draped female bust r. ? beneath.",Ephesus,Vespasian,Vespasian,0.037,0.279,55.1,0.005,0.009,0.24,0.035,0.0394,0.0022,0.00013,0.00016,0.0003,0.02,44.23,44.77,18.55,15.67,38.7,0.84,2.09
BM037,denarius,IMP CAESAR VESPAS AVG COS III TR P P P. ,"AVG in wreath, EPE below.",Ephesus,Vespasian,Vespasian,0.021,0.582,17.86,0.01,0.002,0.38,0.03,0.0619,0.0114,0.00006,0.00008,0.0002,0.057,80.99,82.01,18.57,15.67,38.74,0.84,2.09
BM038,denarius,IMP CAESAR VESPAS AVG COS III TR P P P.,"CONCORDIA AVG, Ceres std. l. EPE below.",Ephesus,Vespasian,Vespasian,0.014,0.609,10.61,0.016,0,0.5,0.016,0.2196,0.0049,0.00011,0.00025,0.0002,0.043,87.96,89.12,18.58,15.68,38.76,0.84,2.09
BM039,denarius,IMP CAESAR VESPAS AVG COS III TR P P P. ,PACI AVGVSTAE Victory r. EPE.,Ephesus,Vespasian,Vespasian,0.004,0.667,5.47,0.008,0.001,0.41,0.02,0.0736,0.0092,0.00013,0.00021,0.0002,0.05,93.29,94.41,18.45,15.66,38.61,0.85,2.09
BM040,denarius,IMP CAESAR VESPAS AVG COS III TR P P P. ,"PACI ORB TERR AVG, EPE.",Ephesus,Vespasian,Vespasian,0.014,0.633,8.27,0.02,0,0.3,0.015,0.0307,0.0013,0.0002,0.00009,0.0002,0.049,90.67,91.65,18.56,15.67,38.74,0.84,2.09
BM041,denarius,IMP CAESAR VESPAS AVG COS IV TR P P P. ,"PACI ORB TERR AVG, star beneath.",Ephesus,Vespasian,Vespasian,0.01,0.52,25.78,0.01,0.004,0.33,0.014,0.0699,0.0109,0.00003,0.00008,0.0002,0.027,74.7,74.1,18.56,15.67,38.74,0.84,2.09
BM042,denarius,T CAES IMP VESP CENS ,"COS V, cow walking  r. ",O mint,Vespasian,Titus,0.011,0.598,18.17,0.005,0.001,0.39,0.008,0.0043,0.0035,0.00007,0.0001,0.0002,0.05,80.76,81.8,18.56,15.67,38.74,0.84,2.09
BM043,denarius,CAESAR AVG F DOMITIANVS  ,FIDES PVBL.clasped hands,O mint,Vespasian,Domitian,0.008,0.577,18.12,0.005,0.002,0.41,0.013,0.0203,0.0119,0.00007,0.00007,0.0001,0.049,80.78,81.82,18.56,15.67,38.73,0.84,2.09
BM044,denarius,IMP CAESAR VESPASIANVS AVG ,AVG in wreath,Antioch,Vespasian,Vespasian,0.01,0.715,7.72,0.007,0.001,0.59,0.003,0.0176,0.0209,0.00011,0.00009,0.0002,0.043,90.87,92.22,18.48,15.66,38.63,0.85,2.09
BM045,denarius,IMP CAESAR VESPASIANVS AVG ,VICTORIA AVG,Antioch,Vespasian,Vespasian,0.003,0.446,1.88,0.001,0,0.87,0.002,0.0166,0.0002,0.00003,0.00055,0.0111,0.019,96.75,98.09,18.58,15.69,38.76,0.84,2.09
BM046,denarius,IMP CAES VESP AVG P M COS IIII ,NEP RED,Antioch,Vespasian,Vespasian,0.024,0.574,19.1,0.011,0.002,0.55,0.014,0.0358,0.021,0.00008,0.00012,0.0002,0.027,79.64,80.79,18.43,15.66,38.6,0.85,2.1
BM047,denarius,T CAES IMP VESP PON TR POT ,NEP RED,Antioch,Vespasian,Titus,0.014,0.389,24.36,0.005,0.002,0.93,0.014,0.0013,0.0029,0.00003,0.00007,0.0001,0.034,74.24,75.6,,,,,
BM048,denarius,IMP CAES DOMITIANVS AVG PM ,"IVPPITER CONSERVATOR, eagle on thunderbolt.",Rome,Domitian,Domitian,0.018,0.663,0.75,0.007,0,0.35,0.006,0.004,0.0004,0.00008,0.00055,0.0004,0.002,98.2,99.21,,,,,
BM049,denarius,IMP CAES DOMITIANVS AVG PM ,T R POT COS VIIII P P,Rome,Domitian,Domitian,0.005,0.662,0.82,0.008,0,0.25,0.004,0.0029,0.0003,0.00019,0.00013,0.0003,0.002,98.24,99.16,,,,,
BM050,denarius,IMP CAES DOMITIANVS AVG PM ,TR POT II COS VIIII DES X P P,Rome,Domitian,Domitian,0.003,0.638,0.78,0.003,0,0.35,0.002,0.0017,0.0002,0.00007,0.00021,0.0002,0.005,98.21,99.21,,,,,
LW76,denarius,IMP CAES DOMIT AVG GERM PM TR P VI    ,IMP XIIII COS XIII CENS P P P,Rome,Domitian,Domitian,0.015,0.648,6.31,0.007,0,0.37,0.004,0.004,0.0013,0.00029,0.0005,0.0007,0.019,92.6,93.7,18.4,15.66,38.54,0.85,2.09
LW77,denarius,IMP CAES DOMIT AVG GERM PM TR P VII    ,IMP XIIII COS XIIII CENS P P P,Rome,Domitian,Domitian,0.006,0.198,12.84,0.013,0.002,0.4,0.004,0.004,0.0005,0.00007,0.0002,0.0002,0.039,86.5,87.1,,,,,
LW78,denarius,IMP CAES DOMIT AVG GERM PM TR P XII    ,IMP XXII COS XVI CENS P P P,Rome,Domitian,Domitian,0.006,0.413,6.28,0.002,0,0.47,0.004,0.004,0.0005,0.00007,0.0002,0.0002,0.019,92.8,93.7,,,,,
LW79,denarius,IMP CAES DOMIT AVG GERM PM TR P XII    ,IMP XXII COS XVI CENS P P P,Rome,Domitian,Domitian,0.007,0.45,7.06,0.008,0,0.48,0.004,0.005,0.0017,0.00015,0.0002,0.0003,0.023,92,92.9,,,,,
LW8,denarius,CAESAR AVG F DOMITIANVS    ,"COS IIII, pegasus.",Rome,Vespasian,Domitian,0.017,0.66,7.78,0.007,0.001,0.32,0.016,0.005,0.0006,0.00008,0.0005,0.0003,0.003,91.2,92.2,,,,,
LW80,denarius,IMP CAES DOMIT AVG GERM PM TR P XI    ,IMP XXI COS XVI CENS P P P,Rome,Domitian,Domitian,0.007,0.515,7.09,0.009,0.001,0.49,0.004,0.005,0.0038,0.00015,0.0002,0.0003,0.053,91.8,92.9,,,,,
LW81,denarius,IMP CAES DOMIT AVG GERM PM TR P X    ,IMP XXI COS XV CENS P P P,Rome,Domitian,Domitian,0.007,0.398,6.31,0.009,0.001,0.51,0.004,0.004,0.0022,0.00011,0.0002,0.0003,0.027,92.7,93.7,,,,,
LW82,denarius,IMP CAES DOMIT AVG GERM PM TR P VIIII    ,IMP XXI COS XIIII CENS P P P,Rome,Domitian,Domitian,0.008,0.646,6.49,0.01,0.001,0.31,0.005,0.006,0.0007,0.00016,0.0005,0.0003,0.011,92.5,93.5,,,,,
LW83,denarius,IMP CAES DOMIT AVG GERM PM TR P VIII    ,IMP XIX COS XIIII CENS P P P,Rome,Domitian,Domitian,0.017,0.735,7.6,0.008,0,0.53,0.009,0.005,0.0006,0.00012,0.0002,0.0006,0.017,91.1,92.4,,,,,
LW84,denarius,IMP NERVA CAES AVG P M TR P COS II PP    ,SALVS PVBLICA,Rome,Nerva,Nerva,0.01,0.601,6.39,0.006,0.001,0.55,0.003,0.0047,0.0009,0.00004,0.00015,0.0004,0.05,92.39,93.59,,,,,
LW85,denarius,IMP NERVA CAES AVG P M TR POT II    ,"COS III PATER PATRIAE, sacrificial implements",Rome,Nerva,Nerva,0.013,0.354,12.5,0.01,0.002,0.45,0.002,0.0027,0.0005,0.00006,0.00009,0.0002,0.02,86.65,87.47,,,,,
LW86,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,"CONCORDIA EXERCITVVM, clasped hands",Rome,Nerva,Nerva,0.018,0.599,12.32,0.008,0.001,0.57,0.02,0.004,0.0014,0.00008,0.0002,0.0002,0.014,86.4,87.6,18.39,15.65,38.49,0.85,2.09
LW87,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,FORTVNA AVGVST,Rome,Nerva,Nerva,0.026,0.33,7.04,0.013,0.001,0.86,0.018,0.005,0.0029,0.0002,0.0004,0.0006,0.045,91.7,92.9,,,,,
LW88,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,FORTVNA AVGVST,Rome,Nerva,Nerva,0.016,0.474,7.15,0.006,0.001,0.67,0.012,0.0245,0.0007,0.00003,0.00011,0.0003,0.012,91.63,92.79,,,,,
LW89,denarius,IMP NERVA CAES AVG P M TR POT    ,"COS III PATER PATRIAE, sacrificial implements",Rome,Nerva,Nerva,0.01,0.488,11.54,0.006,0.001,0.56,0.003,0.0046,0.0009,0.00004,0.00032,0.0552,0.003,87.32,88.37,,,,,
LW9,denarius,CAESAR VESPASIANVS AVG    ,"IMP XIX, modius.",Rome,Vespasian,Vespasian,0.008,0.394,25.85,0.017,0.002,0.66,0.005,0.006,0.0037,0.00019,0.0002,0.0003,0.013,73,74.1,,,,,
LW90,denarius,IMP NERVA CAES AVG P M TR P II COS III PP    ,LIBERTAS PVBLICA,Rome,Nerva,Nerva,0.005,0.255,13.36,0.011,0.002,0.58,0.002,0.0509,0.0004,0.00012,0.00007,0.0002,0.038,85.7,86.57,,,,,
LW91,denarius,IMP NERVA CAES AVG P M TR P II COS III PP    ,FORTVNA AVGVST,Rome,Nerva,Nerva,0.019,0.398,7.08,0.012,0.001,0.51,0.005,0.005,0.0018,0.00016,0.0002,0.0003,0.021,92,92.9,,,,,
LW92,denarius,IMP NERVA CAES AVG P M TR P COS II PP    ,LIBERTAS PVBLICA,Rome,Nerva,Nerva,0.015,0.312,8.69,0.012,0.001,0.72,0.005,0.0066,0.0012,0.00005,0.00021,0.0006,0.042,90.19,91.27,,,,,
LW93,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,AEQVITAS AVGVST,Rome,Nerva,Nerva,0.007,0.561,9.24,0.008,0.002,0.53,0.006,0.0033,0.0006,0.00003,0.00011,0.0003,0.002,89.64,90.73,,,,,
LW94,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,FORTVNA P R,Rome,Nerva,Nerva,0.015,0.292,7.3,0.009,0.001,0.56,0.005,0.005,0.0025,0.00017,0.0002,0.0003,0.043,91.8,92.7,18.35,15.66,38.51,0.85,2.1
LW95,denarius,IMP NERVA CAES AVG P M TR POT    ,"COS III PATER PATRIAE, sacrificial implements",Rome,Nerva,Nerva,0.013,0.58,10.16,0.007,0.001,0.62,0.004,0.006,0.0011,0.00005,0.00019,0.0005,0.022,88.58,89.8,,,,,
LW96,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,FORTVNA AVGVST,Rome,Nerva,Nerva,0.011,0.486,8.4,0.009,0.001,0.62,0.018,0.0047,0.0009,0.00004,0.00015,0.0004,0.007,90.44,91.55,,,,,
SHK31,denarius,A VITELLIVS IMP GERMAN  ,"VICTORIA AVGVSTI, Victory flying l.",Lyon,Vitellius,Vitellius,0.007,0.495,3.53,0.032,0.001,0.47,0.003,0.0535,0.0113,0.00056,0.00095,0.0174,0.071,95.31,96.35,18.45,15.66,38.58,0.85,2.09
SHK32,denarius,A VITELLIVS GERMANICVS IMP   ,No legend. Victory std. l..,Rome,Vitellius,Vitellius,0.013,0.583,20.74,0.004,0.001,0.95,0.003,0.0027,0.0005,0.00002,0.00019,0.0002,0.001,77.71,79.24,18.46,15.66,38.62,0.85,2.09
BM1,denarius,NERO CAESAR AVGVSTVS        ,ROMA in exergue.,Rome,Nero,Nero,0.008,0.651,19.94,0.016,0.002,0.32,0.011,0.0027,0.046,0.00018,0.00063,0.0806,0.002,78.91,79.89,,,,,
BM10,denarius,NERO CLAVD CAES DRVSVS GERM PRINC IVVENT    ,"SACERD COOPT IN OMN CONL SVPRA NVM EX SC, Simpulum (to r.) on l. and lituus (to l.) on r. above tripod and patera respectively.",Lyon,Claudius,Nero,0.007,0.201,0.2,0.005,0,0.27,0.001,0.0015,0.0002,0.00013,0.00089,0.0216,0.108,99.19,99.77,,,,,
BM11,denarius,C CAESAR AVG GERM P M TR POT   ,AGRIPPINA MAT C CAES AVG GERM,Lyon,Caligula,Caligula,0.01,0.941,0.05,0.001,0,0.32,0.011,0.002,0.0002,0.00017,0.00018,0.0002,0.26,98.4,99.92,,,,,
BM12,denarius,C CAESAR AVG GERM P M TR POT  ,DIVVS AVG PATER PATRIAE,Lyon,Caligula,Caligula,0.015,0.104,0.23,0.005,0,0.44,0.032,0.0029,0.0003,0.00024,0.00058,0.0005,0.064,99.1,99.71,,,,,
BM2,denarius,IMP NERO CAESAR AVGVSTVS        ,IVPPITER CVSTOS,Rome,Nero,Nero,0.01,0.319,11.83,0.006,0,0.95,0.013,0.0015,0.0002,0.00013,0.00032,0.0001,0.054,86.81,88.14,,,,,
BM3,denarius,NERO CAESAR AVGVSTVS        ,IVPPITER CVSTOS,Rome,Nero,Nero,0.008,0.608,16.12,0.007,0.001,0.87,0.007,0.0014,0.002,0.00011,0.00021,0.0002,0.011,82.37,83.85,18.37,15.61,38.34,0.85,2.09
BM4,denarius,NERO CAESAR AVGVSTVS        ,"AVGVSTVS AVGVSTA,  Nero rad. and togate, r., holding patera, l. long scepture, stg., l. next to empress (on his r.) veiled and dr. r. holding patera, l. cornucopiae, ",Rome,Nero,Nero,0.012,0.48,7.74,0.007,0.001,0.59,0.02,0.0015,0.0002,0.00017,0.00027,0.0008,0.021,91.13,92.21,,,,,
BM5,denarius,NERO CAESAR AVG IMP   ,"PONTIF.MAX.TR.P.VIII.COS.IIII.PP,  Roma stg, r., EX-SC to l. and r.",Rome,Nero,Nero,0.012,0.107,0.1,0.013,0,0.63,0.004,0.0022,0.0002,0.00018,0.00018,0.0004,0.103,99.03,99.87,,,,,
BM6,denarius,NERO CAESAR AVG IMP   ,PONTIF MAX TR P VII COS IIII PP around oak wreath enclosing EX S C,Rome,Nero,Nero,0.01,1.296,0.92,0.004,0,0.96,0.006,0.0021,0.0002,0.00017,0.00021,0.0003,0.009,96.78,99.05,,,,,
BM7,denarius,T CLAVD CAESAR AVG P M TR P VIIII IMP XVI        ,"PACI AVGVSTAE, Pax-Nemesis, winged, advancing r., ",Lyon,Claudius,Claudius,0.014,0.105,0.21,0,0.001,0.34,0.06,0.0028,0.0003,0.00023,0.00089,0.001,0.03,99.24,99.71,,,,,
BM8,denarius,TI CLAVD CAESAR AVG GERM P M TR P        ,"CONSTANTIAE AVGVSTI, Constantia std, l. on curule chair, feet on stool, r. raised ",Lyon,Claudius,Claudius,0.01,0.671,0.36,0.004,0,0.22,0.038,0.0022,0.0002,0.00018,0.00066,0.0007,0.089,98.6,99.58,,,,,
BM9,denarius,TI CLAVD CAESAR AVG P M TR P        ,"PRAETOR RECEPT, Claudius, bare-headed and togate, stg. r. clasping hands with long-haired soldier stg. l. with shield slung on one side, l. holding aquila.",Lyon,Claudius,Claudius,0.011,0.118,0.13,0.003,0,0.22,0.005,0.0031,0.0003,0.00025,0.00025,0.0003,0.084,99.43,99.85,,,,,
BR1,denarius,TI CAESAR DIVI AVG F AVGVSTVS         ,PONTIF MAXIM   Livia or Pax (?) std. r.,Lyon,Tiberius,Tiberius,0.027,0.319,0.28,0.005,0.001,0.18,0.062,0.0035,0.0004,0.00029,0.0016,0.0022,0.076,99.04,99.62,,,,,
BR2,denarius,T CLAVD CAESAR AVG P M TR P XI IMP PP COS V        ,"PACI AVGVSTAE,  Pax-Nemesis, winged, advancing r.",Lyon,Claudius,Claudius,0.01,0.459,0.25,0.018,0,0.21,0.011,0.0021,0.0002,0.00017,0.00017,0.0002,0.115,98.93,99.71,,,,,
BR3,denarius,TI CAESAR DIVI AVG F AVGVSTVS         ,PONTIF MAXIM   Livia or Pax (?) std. r.,Lyon,Tiberius,Tiberius,0.012,0.743,0.09,0.008,0,0.27,0.013,0.0019,0.0002,0.00016,0.00017,0.0003,0.253,98.6,99.87,,,,,
BR4,denarius,TI CAESAR DIVI AVG F AVGVSTVS         ,PONTIF MAXIM   Livia or Pax (?) std. r.,Lyon,Tiberius,Tiberius,0.006,0.268,0.13,0.004,0,0.28,0.014,0.0016,0.0002,0.00013,0.00021,0.0003,0.099,99.2,99.85,,,,,
BRTN1,denarius,IMP NERO CAESAR AVG PP  ,Standards,Rome,Nero,Nero,0.02,0.715,10.95,0.01,0.001,0.71,0.007,0.0125,0.0008,0.00003,0.00014,0.0004,0.003,87.57,89,,,,,
BRTN10,denarius,IMP TITVS CAES VESPASIAN AVG PM.   ,"TR P VIIII COS VII PP, Venus stg. r.",Rome,Titus,Titus,0.005,0.605,16.86,0.014,0.001,0.33,0.003,0.003,0.001,0.00009,0.0004,0.0121,0.04,82.1,83.1,,,,,
BRTN11,denarius,IMP TITVS CAES VESPASIAN AVG PM ,"TRP VIIII COS VII PP, Venus stg. r.",Rome,Titus,Titus,0.014,0.511,20.98,0.006,0.002,0.31,0.019,0.004,0.0005,0.00002,0.0001,0.0002,0.011,78.1,79,,,,,
BRTN12,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TRP IX IMP XV COS VIII P P, wreath on curule chair.",Rome,Titus,Titus,0.006,0.528,19.06,0.021,0.001,0.9,0.022,0.004,0.0015,0.00005,0.0002,0.0002,0.022,79.4,80.9,,,,,
BRTN13,denarius,IMP TITVS CAES VESPASIAN AVG PM ,"…...IMP XV COS…  P P, throne with crescents.",Rome,Titus,Titus,0.007,0.504,25.17,0.008,0.002,1.19,0.015,0.005,0.0006,0.00005,0.0002,0.0003,0.018,73.1,74.8,,,,,
BRTN14,denarius,IMP TITVS CAES VESPASIAN AVG PM , TRP IX IMP XV COS…… thunderbolt on throne.,Rome,Titus,Titus,0.016,0.544,21.8,0.005,0.002,0.48,0.004,0.005,0.0213,0.0003,0.0005,0.0003,0.01,77.1,78.1,,,,,
BRTN15,denarius,CAESAR DIVI F DOMITIANVS COS VII   ," PRINCEPS IVVENTVTIS, Goat l. in wreath",Rome,Titus,Domitian,0.018,0.396,21,0.047,0.004,0.35,0.011,0.021,0.002,0.00053,0.0001,0.004,0.001,78.2,78.9,,,,,
BRTN16,denarius,IMP CAES DOMIT AVG GERM P M TR P VIII   , IMP XIX COS XIIII CENS P P P,Rome,Domitian,Domitian,0.005,0.708,12.71,0.005,0.002,0.34,0.002,0.0024,0.0005,0.00017,0.00036,0.0002,0.001,86.23,87.28,,,,,
BRTN17,denarius,IMP CAES DOMIT AVG GERM P M TR P XI   ,IMP XXI COS XVI CENS P P P,Rome,Domitian,Domitian,0.005,0.571,13.03,0.004,0.001,0.54,0.001,0.002,0.0004,0.00002,0.00006,0.0002,0.03,85.82,86.95,,,,,
BRTN18,denarius,IMP CAES DOMIT AVG GERM P M TR P XI   ,IMP XXI COS XVI CENS P P P.,Rome,Domitian,Domitian,0.005,0.538,12.05,0.004,0.001,0.45,0.002,0.0023,0.0004,0.00002,0.00007,0.0002,0.026,86.91,87.93,,,,,
BRTN19,denarius,IMP CAES DOMIT AVG GERM P M TR P XII   ,IMP XXII COS XVI CENS P P P.,Rome,Domitian,Domitian,0.015,0.335,12.47,0.004,0.002,0.44,0.002,0.0026,0.0005,0.00013,0.00019,0.0009,0.012,86.72,87.5,,,,,
BRTN2,denarius,IMP NERO CAESAR AVG PP  ,Standards,Rome,Nero,Nero,0.021,0.55,10.73,0.017,0.002,0.34,0.004,0.0049,0.0146,0.00011,0.00015,0.0004,0.012,88.3,89.2,,,,,
BRTN20,denarius,IMP CAES DOMIT AVG GERM P M TR P XII   ,IMP XXII COS XVI CENS P P P.,Rome,Domitian,Domitian,0.005,0.432,12.15,0.004,0.002,0.49,0.002,0.0023,0.0004,0.00006,0.00007,0.0002,0.006,86.91,87.84,18.4,15.65,38.5,0.85,2.09
BRTN22,denarius,IMP NERVA CAES AVG P M TR POT   ,"COS III PATER PATRIAE, Sacrificial implements.",Rome,Nerva,Nerva,0.005,0.446,14.93,0.006,0.002,0.5,0.012,0.0025,0.0005,0.00002,0.02127,0.5304,0.002,83.54,84.49,,,,,
BRTN23,denarius,IMP NERVA CAES AVG P M TR POT   ,"COS III PATER PATRIAE, Sacrificial implements.",Rome,Nerva,Nerva,0.003,0.483,13.36,0.007,0.002,0.54,0.003,0.0014,0.0003,0.00004,0.00005,0.0001,0.014,85.59,86.63,,,,,
BRTN24,denarius,IMP NERVA CAES AVG P M TR POT  ,"COS III PATER PATRIAE, Sacrificial implements.",Rome,Nerva,Nerva,0.009,0.683,14.26,0.005,0.001,0.64,0.003,0.004,0.0007,0.00003,0.00012,0.0003,0.005,84.39,85.71,,,,,
BRTN25,denarius,IMP NERVA CAES AVG P P   ,"CONCORDIA EXERCITVVM, Clasped hands ",Rome,Nerva,Nerva,0.006,0.398,13.84,0.01,0.002,0.51,0.002,0.0026,0.0005,0.00004,0.00066,0.0159,0.042,85.18,86.12,,,,,
BRTN26,denarius,IMP NERVA CAES AVG P M TR P COS III P P  ,LIBERTAS PVBLICA,Rome,Nerva,Nerva,0.006,0.52,13.94,0.009,0.002,0.51,0.002,0.0029,0.0005,0.00025,0.00029,0.0002,0.017,84.99,86.04,,,,,
BRTN27,denarius,IMP NERVA CAES AVG P M TR P COS III P P  ,LIBERTAS PVBLICA,Rome,Nerva,Nerva,0.005,0.607,14.74,0.006,0.002,0.55,0.012,0.0024,0.0005,0.00003,0.00008,0.0002,0.019,84.06,85.23,,,,,
