REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,BISMUTH,SILVER,BULLION,,,,,
BCC155,denarius,T CAESAR IMP VESP[ASIAN],"PONTIF TR POT COS III, Caduceus",Rome,Vespasian,Titus,0.007,0.396,22.82,0.003,0.001,0.44,0.017,0.0012,0.0001,0.00001,0.00005,0.0001,0.01,76.3,77.15,,,,,
BCC156,denarius,IMP CAESAR VESPASIANVS AVG,"PON MAX TR P COS VI, Securitas seated",Rome,Vespasian,Vespasian,0.008,0.337,21.94,0.007,0.003,0.37,0.016,0.0011,0.0005,0.00007,0.00055,0.0001,0.003,77.31,78.03,,,,,
BCC157,denarius,IMP CAESAR VESPASIANVS AVG,COS VII Cow r.,Rome,Vespasian,Vespasian,0.007,0.378,24.35,0.006,0.003,0.54,0.016,0.0015,0.0016,0.00007,0.00005,0.0001,0.023,74.68,75.62,,,,,
BCC158,denarius,IMP CAESAR VESPASIANVS [AVG],"COS VII, eagle, head left.",Rome,Vespasian,Vespasian,0.003,0.371,22.57,0.007,0.002,0.93,0.014,0.0012,0.0004,0.00002,0.00005,0.0001,0.043,76.06,77.4,,,,,
BCC159,denarius,IMP CAESAR VESPASIANVS AVG,"COS VIII, Mars, corn ear.",Rome,Vespasian,Vespasian,0.013,0.503,16.87,0.03,0.002,0.29,0.012,0.0027,0.0006,0.00027,0.00005,0.0004,0.016,82.26,83.07,,,,,
BCC16,denarius,(CAES)AR AVG F DOMITIANVS,"COS V, Wolf and twins.",Rome,Vespasian,Domitian,0.002,0.486,21.81,0.014,0.002,0.7,0.007,0.015,0.0096,0.00011,0.00004,0.0001,0.008,76.95,78.14,,,,,
BCC160,denarius,[IMP] CAESAR VESPASIANVS AVG ,"COS VIII, pair of oxen.",Rome,Vespasian,Vespasian,0.002,0.388,22.46,0.014,0.001,0.44,0.005,0.0118,0.0021,0.00009,0.00004,0.0001,0.011,76.67,77.51,,,,,
BCC161,denarius,[IM]P CAESAR VESPASIANVS AV[G] ,"COS VIII, pair of oxen.",Rome,Vespasian,Vespasian,0.003,0.234,24.16,0.019,0.002,0.52,0.007,0.0142,0.0024,0.00012,0.00005,0.0001,0.021,75.02,75.79,,,,,
BCC162,denarius,IMP CAESAR VESPASIANVS AVG,"COS VIII, prow.",Rome,Vespasian,Vespasian,0.011,0.433,22.2,0.008,0.003,0.37,0.015,0.0043,0.0012,0.0001,0.00005,0.0003,0.047,76.91,77.76,,,,,
BCC163,denarius,[T CA]ESAR VESPASIAN[VS],"IMP XIII, sow.",Rome,Vespasian,Titus,0.003,0.47,26.27,0.008,0.001,0.58,0.005,0.0176,0.0129,0.00004,0.00005,0.0001,0.013,72.62,73.69,,,,,
BCC164,denarius,CAESAR AVG F DOMITIANVS,"COS V, wolf and twins.",Rome,Vespasian,Domitian,0.002,0.46,24.73,0.004,0.001,0.58,0.001,0.0067,0.0074,0.00006,0.00004,0.0001,0.01,74.2,75.24,,,,,
BCC165,denarius,CAESAR AVG F DOMITIANVS,"COS V, wolf and twins.",Rome,Vespasian,Domitian,0.005,0.414,25.08,0.008,0.002,0.6,0.006,0.0138,0.0216,0.00044,0.00024,0.0006,0.016,73.83,74.86,,,,,
BCC166,denarius,IMP CAESAR VESPASIANVS AVG,TR POT X COS VIIII,Rome,Vespasian,Vespasian,0.002,0.638,7.14,0.017,0.001,0.34,0.008,0.001,0.0003,0.0001,0.00052,0.0175,0.002,91.83,92.81,,,,,
BCC167,denarius,T CAESAR IMP VESPASIANVS,"TR POT VIII COS VII, Venus.",Rome,Vespasian,Titus,0.003,0.541,23.54,0.01,0.001,0.66,0.004,0.0011,0.0001,0.00007,0.00005,0.0001,0,75.23,76.44,,,,,
BCC168,denarius,CAESAR AVG F DOMITIANVS COS VI,"PRINCEPS IVVENTVTIS, Vesta.",Rome,Vespasian,Domitian,0.003,0.592,19.28,0.006,0.001,0.39,0.003,0.0012,0.0001,0.00004,0.00005,0.0001,0.001,79.73,80.71,,,,,
BCC169,denarius,CAESAR AVG F DOMITIANVS COS VI,"PRINCEPS IVVENTVTIS, Salus.",Rome,Vespasian,Domitian,0.003,0.446,24.99,0.021,0.001,0.76,0.003,0.0011,0.0001,0.0001,0.00005,0.0001,0.013,73.77,74.99,,,,,
BCC17,denarius,IMP TITVS CAES (VESPASIAN A)VG PM,"TRP VIIII IMP XIII COS VII PP, Quadriga.",Rome,Titus,Titus,0.005,0.562,18.69,0.007,0.002,0.34,0.016,0.0008,0.0001,0.00005,0.00004,0.0001,0,80.38,81.28,,,,,
BCC170,denarius,[T] CAESAR IMP VES[PASIAN],[IOVIS] CVSTOS,Rome,Vespasian,Titus,0.003,0.41,7.71,0.009,0.001,0.57,0.023,0.0012,0.0004,0.00019,0.00462,0.1274,0.049,91.1,92.12,,,,,
BCC171,denarius,IMP TITVS CAES VESPASIAN AVG PM,"TR P IX IMP XV COS VIII PP, dolphin.",Rome,Titus,Titus,0.003,0.494,7.7,0.011,0,1.01,0.013,0.0011,0.0014,0.00005,0.00005,0.0002,0.031,90.74,92.28,,,,,
BCC172,denarius,IMP TITVS CAES VESPASIAN AVG PM,"TR P IX IMP XV COS VIII PP, tripod.",Rome,Titus,Titus,0.014,0.42,18.05,0.01,0.003,0.19,0.011,0.0771,0.0003,0.00031,0.00004,0.0032,0,81.22,81.83,,,,,
